nro_prueba;archivo;tiempo_codificacion;tiempo_decodificacion;size_encoded;size_original
1;random.10MB;5748;2180;16365196;10485760
2;random.20MB;12165;4397;30588836;20971520
3;random.30MB;17608;6555;44505672;31457280
4;random.40MB;24690;8831;58323548;41943040
5;random.50MB;30212;10968;72081340;52428800
6;random.60MB;35706;13091;85785272;62914560
7;random.70MB;45111;15600;99438948;73400320
8;random.80MB;50550;17873;113043348;83886080
9;random.90MB;56422;20056;126599216;94371840
10;random.100MB;62445;21851;140108172;104857600
11;random.110MB;67713;23877;153568868;115343360
12;random.120MB;73361;26098;166989396;125829120
13;random.130MB;80294;28282;180356204;136314880
14;random.140MB;87133;30281;193685552;146800640
15;random.150MB;98857;33633;206971084;157286400
16;random.160MB;104506;35454;220216252;167772160
17;random.170MB;110775;37085;233420436;178257920
18;random.180MB;116792;39766;246584360;188743680
19;random.190MB;122635;41813;259709936;199229440
20;random.200MB;127046;43949;272798420;209715200
